2, 1
1, 2
3, 2
2, 3
4, 3
9, 3
10, 3
11, 3
3, 4
5, 4
8, 4
4, 5
6, 5
7, 5
5, 6
5, 7
4, 8
3, 9
3, 10
3, 11
12, 11
14, 11
16, 11
18, 11
20, 11
11, 12
13, 12
12, 13
11, 14
15, 14
14, 15
11, 16
17, 16
16, 17
11, 18
19, 18
18, 19
11, 20
21, 20
20, 21
23, 22
22, 23
24, 23
23, 24
25, 24
28, 24
29, 24
46, 24
24, 25
26, 25
27, 25
25, 26
25, 27
24, 28
24, 29
30, 29
31, 29
29, 30
29, 31
32, 31
31, 32
33, 32
32, 33
34, 33
39, 33
40, 33
41, 33
33, 34
35, 34
38, 34
34, 35
36, 35
37, 35
35, 36
35, 37
34, 38
33, 39
33, 40
33, 41
42, 41
44, 41
41, 42
43, 42
42, 43
41, 44
45, 44
44, 45
24, 46
